Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
Toyota,8900,other,180,2,Petrol,yes,2003
Renault,6300,vagon,189,1.5,Diesel,yes,2008
Mitsubishi,20500,crossover,109,3.2,Diesel,yes,2009
Volkswagen,11300,van,165,1.9,Diesel,yes,2010
Mercedes-Benz,2300,sedan,261,2.3,Gas,yes,1978
Volkswagen,42500,crossover,63,3,Diesel,yes,2014
Toyota,28000,crossover,95,3.5,Gas,yes,2011
Mitsubishi,17500,crossover,38,1.8,Petrol,yes,2012
Volkswagen,7800,van,282,2.5,Diesel,yes,2000
Mercedes-Benz,74999,crossover,1,2.2,Diesel,yes,2016
Renault,10200,other,39,1.5,Diesel,yes,2014
BMW,22500,sedan,179,3,Diesel,yes,2007
Mercedes-Benz,52777,sedan,60,3,Diesel,yes,2012
Toyota,14250,van,127,3.5,Other,yes,2007
Toyota,26200,crossover,156,4,Gas,yes,2007
Volkswagen,9800,van,299,2.5,Diesel,yes,2002
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016
Volkswagen,8700,other,357,2.5,Diesel,yes,2003
BMW,30500,crossover,147,3,Diesel,yes,2008
Renault,11700,vagon,177,1.5,Diesel,yes,2012
BMW,29500,sedan,850,NA,Petrol,yes,2011
Mercedes-Benz,6400,hatch,177,2,Diesel,no,2008
BMW,36400,crossover,80,3,Petrol,yes,2011
Audi,75000,crossover,0,3,Diesel,yes,2015
Volkswagen,6000,hatch,195,1.2,Gas,yes,2004
Mercedes-Benz,4900,van,248,2.2,Diesel,yes,2003
Mercedes-Benz,6999,sedan,288,3.2,Gas,yes,2001
Volkswagen,9900,other,171,1.6,Diesel,yes,2011
Volkswagen,3500,sedan,189,1.8,Petrol,yes,1993
Volkswagen,NA,van,162,2,Diesel,yes,2011
BMW,1750,vagon,200,2,Petrol,no,2000
Renault,4600,sedan,230,1.5,Diesel,yes,2007
Mercedes-Benz,NA,other,0,3,Other,yes,2016
Volkswagen,9800,van,220,1.9,Diesel,yes,2008
Renault,5950,van,135,1.5,Diesel,yes,2012
Renault,7400,van,120,1.5,Diesel,yes,2012
Audi,12800,sedan,217,1.8,Petrol,yes,2007
BMW,7300,sedan,350,NA,Petrol,yes,1997
Volkswagen,9000,sedan,59,1.6,Gas,yes,2013
Volkswagen,1550,hatch,130,1.3,Petrol,yes,1986
Mitsubishi,18600,crossover,52,2,Petrol,yes,2013
BMW,3900,sedan,340,2.5,Diesel,no,2000
Audi,92222,crossover,0,3,Diesel,yes,2016
Volkswagen,5400,other,314,2.4,Diesel,yes,1993
Audi,16000,sedan,250,2,Diesel,yes,2008
Volkswagen,3500,other,304,1.9,Diesel,no,2006
Mercedes-Benz,6500,sedan,270,2.8,Gas,yes,1999
Mercedes-Benz,7000,sedan,300,4.3,Gas,yes,2000
Renault,10499,vagon,121,1.5,Diesel,yes,2013
Renault,13900,crossover,111,2.5,Gas,yes,2010
BMW,6400,other,220,2.5,Petrol,yes,1997
BMW,10800,sedan,246,3,Diesel,yes,2003
BMW,12700,hatch,130,2,Petrol,yes,2007
BMW,38500,sedan,140,2,Diesel,yes,2012
Mitsubishi,5999,sedan,150,1.6,Petrol,yes,2005
Renault,9500,hatch,77,1.6,Petrol,yes,2011
Volkswagen,12000,van,196,2,Diesel,yes,2011
Mercedes-Benz,38700,sedan,117,5.5,Petrol,yes,2010
Mercedes-Benz,40000,other,119,6.3,Petrol,yes,2008
Mercedes-Benz,6900,other,311,2.2,Diesel,yes,1999
Audi,24300,sedan,43,1.8,Petrol,yes,2012
Mitsubishi,17700,crossover,165,3,Gas,yes,2007
Toyota,18999,crossover,153,2.7,Gas,yes,2006
BMW,8300,sedan,200,4.4,Petrol,yes,2001
Toyota,25000,crossover,80,4,Gas,yes,2008
Volkswagen,NA,vagon,161,1.4,Petrol,yes,2011
Mitsubishi,12499,crossover,142,2.4,Gas,yes,2008
BMW,2899,sedan,340,2.4,Diesel,yes,1988
BMW,19900,other,95,4.5,Petrol,yes,2005
Audi,51000,crossover,44,3,Diesel,yes,2014
Audi,81999,crossover,0,2.98,Diesel,yes,2016
BMW,9500,sedan,400,3.5,Gas,yes,1999
Mitsubishi,10200,crossover,99,2,Gas,yes,2008
Mercedes-Benz,5500,van,260,2.2,Diesel,no,2004
Volkswagen,18500,sedan,74,1.8,Petrol,yes,2011
Volkswagen,11200,van,200,2.5,Diesel,yes,2003
BMW,3099,sedan,320,2,Diesel,no,2000
Audi,27300,other,65,2,Petrol,yes,2011
Volkswagen,1450,other,200,1.8,Gas,yes,1987
Mitsubishi,9700,sedan,120,2.4,Gas,yes,2006
Mitsubishi,18900,crossover,127,3,Gas,yes,2008
Audi,33500,crossover,67,2,Petrol,yes,2011
Volkswagen,5500,van,400,1.9,Diesel,yes,1995
Volkswagen,5300,sedan,270,1.8,Gas,yes,1997
Toyota,25500,crossover,200,4,Petrol,yes,2007
Toyota,23660,crossover,125,3.5,Gas,yes,2013
Volkswagen,3100,hatch,311,1.6,Gas,yes,1986
Mitsubishi,5900,sedan,170,1.6,Petrol,yes,2007
Volkswagen,15900,sedan,150,2,Diesel,yes,2012
Mercedes-Benz,105999,crossover,0,2.98,Diesel,yes,2016
Mercedes-Benz,18500,van,170,2.2,Diesel,yes,2010
BMW,86999,crossover,0,3,Diesel,yes,2016
BMW,27800,sedan,170,2,Diesel,yes,2011
Volkswagen,9000,van,275,2.5,Diesel,yes,2002
Toyota,12200,sedan,185,3.5,Petrol,yes,2008
Toyota,5800,sedan,200,2.2,Petrol,yes,1999
Volkswagen,14499,van,164,2,Diesel,yes,2013
Audi,37000,other,170,3,Diesel,yes,2010
Volkswagen,4500,hatch,199,1.8,Petrol,yes,1996
Audi,6557.85,sedan,327,4.2,Gas,yes,2000
Renault,6800,sedan,219,1.6,Gas,yes,2007
BMW,37900,crossover,97,3,Diesel,yes,2010
Audi,14200,sedan,176,3,Diesel,yes,2005
Mitsubishi,9350,sedan,94,1.5,Gas,yes,2010
Volkswagen,2200,vagon,150,1.6,Petrol,yes,1986
Toyota,3100,hatch,283,1.3,Petrol,yes,1994
Mitsubishi,8400,crossover,100,3.2,Diesel,yes,2011
Audi,30650,vagon,35,2,Petrol,yes,2013
Audi,8800,sedan,298,2.4,Gas,yes,1999
Mercedes-Benz,NA,other,25,4.7,Petrol,yes,2014
Mitsubishi,7699,crossover,254,3,Petrol,yes,2002
Renault,6400,van,136,1.5,Diesel,yes,2012
Volkswagen,16200,hatch,44,1.4,Petrol,yes,2012
Volkswagen,4100,sedan,88,1.8,Gas,yes,1993
Mercedes-Benz,6800,sedan,235,2.2,Diesel,yes,1999
Volkswagen,10600,sedan,75,1.6,Petrol,yes,2012
Toyota,13000,crossover,149,2,Petrol,yes,2006
Toyota,6500,sedan,248,2,Petrol,yes,2001
Audi,25500,vagon,181,3,Petrol,yes,2009
Volkswagen,28000,crossover,132,2,Diesel,yes,2011
Toyota,9800,sedan,123,NA,Petrol,yes,2008
Audi,3500,sedan,200,2.5,Diesel,no,2001
Volkswagen,14899,van,165,2,Diesel,yes,2013
BMW,3500,sedan,300,3,Diesel,no,1999
BMW,3500,sedan,272,2,Diesel,yes,2000
Volkswagen,71138,crossover,0,3,Diesel,yes,2016
Renault,9658.94,sedan,1,1.2,Petrol,yes,2016
Volkswagen,13000,van,178,2.5,Diesel,yes,2007
Toyota,8000,hatch,115,1.6,Petrol,yes,2007
BMW,56500,crossover,1,2,Diesel,yes,2016
Renault,9700,vagon,114,1.5,Diesel,yes,2012
Mercedes-Benz,7300,hatch,176,1.4,Petrol,yes,2004
Renault,9000,vagon,190,1.5,Diesel,yes,2009
Volkswagen,17900,sedan,96,2.5,Petrol,yes,2013
Volkswagen,10700,sedan,147,2,Petrol,yes,2007
Mercedes-Benz,11600,sedan,186,3.2,Petrol,yes,2003
Volkswagen,15000,van,275,2.5,Diesel,yes,2008
Volkswagen,8350,hatch,200,1.4,Petrol,yes,2005
Mercedes-Benz,7700,sedan,199,5,Petrol,yes,1996
BMW,47000,other,5,2,Petrol,yes,2014
Audi,72000,sedan,55,6.3,Petrol,yes,2012
Mitsubishi,17499,crossover,149,3,Gas,yes,2008
Renault,11300,vagon,141,1.5,Diesel,yes,2013
Toyota,8500,sedan,168,1.6,Petrol,yes,2008
Mercedes-Benz,14490,vagon,212,2.2,Diesel,yes,2008
Volkswagen,11999,van,176,2,Diesel,yes,2011
Volkswagen,4300,hatch,217,1.6,Gas,yes,1997
BMW,35500,crossover,33,2,Diesel,yes,2014
Toyota,2800,other,421,1.3,Gas,yes,1988
BMW,37976.25,sedan,0,2,Petrol,yes,2016
Renault,10500,van,183,2.5,Diesel,yes,2006
Toyota,74999,crossover,1,4.5,Diesel,yes,2016
Renault,7300,van,125,1.5,Diesel,yes,2012
Mitsubishi,12200,crossover,140,2.4,Petrol,yes,2007
Toyota,NA,crossover,0,4.5,Diesel,yes,2016
Mercedes-Benz,13600,van,199,2.2,Diesel,yes,2009
Audi,5000,sedan,280,2.3,Gas,yes,1992
Renault,12800,other,188,2,Diesel,yes,2008
Volkswagen,12499,other,184,2,Diesel,yes,2012
Mitsubishi,2800,sedan,150,2,Gas,yes,1996
Renault,7300,van,200,1.5,Diesel,yes,2007
Mitsubishi,6800,sedan,82,2,Petrol,yes,2007
Mitsubishi,9500,crossover,225,2.4,Gas,yes,2004
Audi,15900,hatch,160,1.4,Petrol,yes,2011
Volkswagen,8900,other,180,1.9,Diesel,yes,2010
Toyota,16030,sedan,90,2.5,Gas,yes,2012
BMW,28000,sedan,170,2,Diesel,yes,2011
Audi,10700,vagon,222,2.5,Diesel,yes,2005
BMW,25000,crossover,150,30,Petrol,yes,2007
Mercedes-Benz,7000,sedan,230,2,Gas,yes,2000
Volkswagen,8800,van,260,2.5,Diesel,yes,2008
Volkswagen,35000,crossover,20,2,Diesel,yes,2014
Audi,8000,vagon,200,2.7,Diesel,yes,2006
Mercedes-Benz,15400,sedan,260,2.2,Diesel,yes,2008
Volkswagen,7650,sedan,325,1.8,Gas,yes,2003
Mitsubishi,10600,crossover,52,2,Petrol,yes,2008
Renault,8200,vagon,192,1.5,Diesel,yes,2010
Volkswagen,8700,other,520,2.5,Diesel,yes,1999
BMW,45000,sedan,29,2,Diesel,yes,2016
Volkswagen,5699,van,258,2.5,Diesel,yes,2001
Mercedes-Benz,13200,van,217,3.7,Gas,yes,2005
Volkswagen,11500,van,70,2,Diesel,yes,2013
BMW,3300,sedan,233,28,Petrol,no,1997
Volkswagen,12700,van,213,2,Diesel,yes,2012
Mercedes-Benz,NA,other,176,3,Diesel,yes,2008
Volkswagen,12300,hatch,62,1.4,Petrol,yes,2012
Mercedes-Benz,35500,sedan,100,3.5,Petrol,yes,2010
Audi,15500,sedan,210,2,Diesel,yes,2008
Mercedes-Benz,33000,crossover,109,2.2,Diesel,yes,2012
Mercedes-Benz,NA,van,173,2.2,Diesel,yes,2011
BMW,6500,sedan,280,2,Petrol,yes,1997
Volkswagen,2350,sedan,11,1.9,Other,no,2000
Volkswagen,17900,crossover,130,3.6,Gas,yes,2007
BMW,34500,other,160,3,Diesel,yes,2010
Renault,12300,sedan,99,2.5,Petrol,yes,2011
Mercedes-Benz,20500,sedan,193,3.5,Other,yes,2006
BMW,75555,sedan,30,4.4,Petrol,yes,2014
Toyota,12800,sedan,145,2.4,Petrol,yes,2008
Mercedes-Benz,12800,other,360,2.2,Diesel,yes,2008
Audi,6900,sedan,327,3.7,Petrol,yes,1997
Volkswagen,17200,crossover,220,2.5,Diesel,yes,2006
Renault,6800,sedan,87,1.4,Petrol,yes,2013
Audi,14300,other,80,4.2,Petrol,yes,2004
Volkswagen,11600,sedan,169,1.4,Gas,no,2013
Volkswagen,11990,van,231,2.5,Diesel,yes,2002
BMW,77777,sedan,8,4.4,Petrol,yes,2014
Mercedes-Benz,6800,sedan,186,NA,Petrol,yes,1998
BMW,2800,sedan,300,1.8,Other,yes,1987
Mercedes-Benz,28500,other,65,1.8,Petrol,yes,2011
Audi,42700,crossover,75,3,Diesel,yes,2013
Volkswagen,6950,other,217,1.9,Diesel,yes,2006
Volkswagen,7300,hatch,117,1.4,Petrol,yes,2007
Mercedes-Benz,NA,sedan,25,3,Diesel,yes,2014
Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016
Volkswagen,12900,vagon,145,1.6,Diesel,yes,2011
Volkswagen,5900,sedan,217,2.3,Petrol,yes,1999
Mercedes-Benz,2600,hatch,111,1.4,Petrol,no,1999
Audi,2799,vagon,390,1.9,Diesel,no,1998
Mitsubishi,21000,crossover,98,2.5,Diesel,yes,2011
Audi,4999,sedan,231,1.9,Diesel,no,2002
Volkswagen,6900,sedan,160,1.6,Petrol,yes,2003
Mercedes-Benz,5800,sedan,366,3.2,Gas,yes,1991
Mitsubishi,15700,other,68,1.8,Petrol,yes,2011
Volkswagen,74500,crossover,0,3,Diesel,yes,2015
Mercedes-Benz,22900,sedan,131,5.5,Gas,yes,2008
Mercedes-Benz,32000,crossover,96,3.5,Petrol,yes,2010
Mercedes-Benz,35300,sedan,3,1.6,Petrol,yes,2014
Volkswagen,6900,sedan,320,1.8,Gas,yes,2002
BMW,7000,sedan,286,2.8,Petrol,yes,2001
Volkswagen,35800,crossover,92,3,Diesel,yes,2011
Volkswagen,10700,hatch,60,1.4,Petrol,yes,2010
BMW,23999,crossover,194,3,Petrol,yes,2007
Volkswagen,2700,hatch,300,1.9,Diesel,no,2000
Mercedes-Benz,10000,sedan,80,NA,Diesel,yes,2010
Toyota,18200,crossover,146,2.7,Gas,yes,2006
Audi,2450,vagon,325,2.5,Diesel,no,2000
Audi,15800,hatch,123,1.4,Petrol,yes,2010
Volkswagen,9400,vagon,176,1.9,Diesel,yes,2005
Mitsubishi,5800,vagon,230,1.6,Petrol,yes,2005
Volkswagen,13499,sedan,162,1.4,Petrol,yes,2012
Volkswagen,39615,sedan,0,2,Diesel,yes,2016
Toyota,23300,crossover,40,2,Petrol,yes,2014
Audi,2100,sedan,217,1.9,Diesel,no,1996
BMW,3000,sedan,350,99.99,Other,yes,1992
Mercedes-Benz,2700,sedan,337,2.3,Gas,yes,1988
Renault,NA,van,153,2,Diesel,yes,2012
Volkswagen,6700,van,16,2,Diesel,yes,2005
BMW,43163.25,crossover,0,2,Diesel,yes,2016
Renault,2750,hatch,186,22,Diesel,no,2005
Toyota,28350,crossover,92,2.2,Diesel,yes,2013
Toyota,29500,crossover,90,2.7,Gas,yes,2010
BMW,NA,crossover,15,4.39,Petrol,yes,2015
Volkswagen,8200,sedan,258,1.9,Diesel,yes,2004
Mercedes-Benz,10999,other,269,2.2,Diesel,yes,2006
Mercedes-Benz,NA,crossover,1,3,Diesel,yes,2016
Renault,8299,sedan,19,1.2,Petrol,yes,2013
Toyota,20500,sedan,105,2.5,Petrol,yes,2013
Volkswagen,14500,van,168,2,Diesel,yes,2012
Toyota,17300,other,135,3.5,Gas,yes,2009
Mercedes-Benz,18700,sedan,105,5.5,Petrol,yes,2006
Toyota,13200,sedan,38,1.33,Petrol,yes,2014
Volkswagen,2450,sedan,200,1.3,Gas,yes,1991
Audi,55000,hatch,24,2.8,Other,yes,2014
Toyota,20000,van,135,2.4,Gas,yes,2006
Volkswagen,4000,hatch,266,1.9,Diesel,yes,1993
Mitsubishi,16900,other,120,3,Petrol,yes,2008
Mitsubishi,11450,sedan,60,1.6,Gas,yes,2012
Mercedes-Benz,24500,crossover,236,5,Petrol,yes,2000
Renault,12350,sedan,64,2,Gas,yes,2011
Mercedes-Benz,6900,sedan,239,2.3,Petrol,yes,1996
Toyota,30500,crossover,40,2.7,Petrol,yes,2011
Mitsubishi,8800,sedan,105,2,Gas,yes,2008
Audi,9700,sedan,249,2.5,Diesel,yes,2004
BMW,63500,crossover,33,3,Petrol,yes,2015
Mitsubishi,8900,sedan,96,2,Petrol,yes,2008
Audi,1950,vagon,210,1.8,Gas,no,1996
Audi,4400,sedan,190,2.5,Diesel,no,2003
Toyota,12450,sedan,162,3.5,Gas,yes,2007
Audi,3200,sedan,295,2.5,Diesel,no,2000
Audi,12600,sedan,294,3,Gas,yes,2004
Renault,NA,vagon,137,1.9,Diesel,yes,2008
Mercedes-Benz,4400,sedan,225,2,Gas,yes,1995
Mercedes-Benz,3900,sedan,111,2.5,Diesel,yes,1989
Mercedes-Benz,154999,crossover,0,4.6,Petrol,yes,2016
Volkswagen,8499,sedan,101,1.6,Petrol,yes,2012
Mercedes-Benz,8000,other,230,2.2,Diesel,yes,2001
Volkswagen,3500,hatch,250,1.9,Diesel,no,2000
Audi,11900,sedan,195,2.4,Gas,yes,2005
Toyota,24800,sedan,43,2.5,Gas,yes,2015
Audi,3800,vagon,190,2.5,Diesel,no,2002
Volkswagen,4800,sedan,190,99.99,Petrol,yes,1998
Volkswagen,7500,van,230,1.9,Diesel,yes,2006
BMW,8999,sedan,270,2.8,Petrol,yes,1998
Volkswagen,5000,van,326,2.4,Diesel,yes,1995
Mercedes-Benz,21000,crossover,135,3.5,Petrol,yes,2007
Renault,4200,van,142,1.9,Diesel,yes,2007
Mitsubishi,18000,crossover,160,3.2,Diesel,yes,2007
Volkswagen,8500,van,220,2.5,Diesel,yes,2003
Renault,3750,hatch,232,1.8,Petrol,yes,1997
Volkswagen,9000,other,212,2,Gas,yes,2007
Mitsubishi,6300,crossover,235,3.2,Diesel,no,2001
BMW,8400,sedan,297,2.2,Petrol,yes,2000
Volkswagen,5000,hatch,190,NA,Petrol,yes,1998
Volkswagen,17000,van,157,2,Diesel,yes,2010
Volkswagen,3000,sedan,240,1.8,Petrol,yes,1991
Mercedes-Benz,21300,crossover,114,4.7,Petrol,yes,2007
BMW,16500,crossover,230,3,Gas,yes,2004
Mercedes-Benz,7300,other,250,2.2,Diesel,yes,2005
Mercedes-Benz,NA,van,300,2.3,Diesel,yes,1996
Mercedes-Benz,2300,sedan,300,3,Diesel,yes,1999
BMW,8200,sedan,250,4.4,Petrol,yes,1997
Audi,35000,sedan,61,2.8,Petrol,yes,2012
Volkswagen,7800,vagon,193,1.9,Diesel,yes,2002
Volkswagen,8200,hatch,157,1.6,Petrol,yes,2008
Audi,39999,crossover,45,2,Diesel,yes,2014
Renault,11900,other,173,2,Diesel,yes,2012
Mercedes-Benz,3600,sedan,276,2.7,Diesel,no,2001
Volkswagen,3399,sedan,201,1.8,Petrol,yes,1991
BMW,2650,vagon,335,2,Petrol,no,2000
Mercedes-Benz,11700,hatch,103,1.5,Petrol,yes,2007
Mercedes-Benz,1600,hatch,180,NA,Petrol,no,2000
BMW,2550,vagon,312,2.5,Diesel,no,1999
Renault,NA,van,220,2,Diesel,yes,2008
Mercedes-Benz,2550,vagon,367,3.2,Diesel,no,2000
Audi,31700,sedan,32,1.8,Petrol,yes,2014
Mercedes-Benz,125000,sedan,18,3,Diesel,yes,2015
BMW,20500,crossover,285,4.8,Petrol,yes,2006
Mitsubishi,2600,other,200,2.4,Petrol,no,2002
BMW,2500,vagon,250,2.5,Diesel,no,2000
Mercedes-Benz,13200,van,182,2.2,Diesel,yes,2011
Mercedes-Benz,31000,crossover,220,3.2,Diesel,yes,2008
Audi,30900,vagon,118,2,Petrol,yes,2013
Mitsubishi,4750,sedan,167,1.6,Petrol,yes,2003
Volkswagen,NA,van,160,2,Diesel,yes,2011
Audi,NA,sedan,62,3,Petrol,yes,2013
Toyota,8950,hatch,118,1.6,Petrol,yes,2008
Renault,8300,van,177,1.5,Diesel,yes,2007
Audi,6900,sedan,360,2.5,Diesel,yes,1997
Volkswagen,5000,sedan,81,NA,Other,no,2013
BMW,69999,crossover,71,4.4,Petrol,yes,2011
Volkswagen,3250,sedan,255,1.9,Diesel,no,2003
Volkswagen,11900,hatch,91,1.4,Petrol,yes,2010
Mitsubishi,9600,other,114,2,Petrol,yes,1999
Mercedes-Benz,21200,vagon,206,2.1,Diesel,yes,2011
Toyota,102999,crossover,0,4.5,Diesel,yes,2016
Mercedes-Benz,11900,van,277,2.2,Diesel,yes,2007
Renault,9999,van,185,1.5,Diesel,yes,2008
Renault,8500,sedan,57,1.2,Gas,yes,2013
Volkswagen,6500,other,385,2.4,Diesel,yes,1997
Mitsubishi,8700,sedan,80,1.5,Petrol,yes,2008
Volkswagen,8599,van,169,1.6,Diesel,yes,2011
Volkswagen,12700,hatch,156,1.6,Diesel,yes,2011
Mitsubishi,7700,sedan,135,2,Gas,yes,2007
Mitsubishi,2020,other,90,NA,Other,no,2008
Volkswagen,NA,van,123,1.2,Petrol,yes,2013
Mitsubishi,8700,sedan,150,2.4,Gas,yes,2007
Mitsubishi,9300,sedan,95,2,Petrol,yes,2007
Mercedes-Benz,3550,sedan,238,2.2,Diesel,no,2001
Audi,29800,crossover,151,3,Diesel,yes,2007
Renault,3900,van,202,1.9,Diesel,yes,2001
BMW,NA,crossover,200,3,Diesel,yes,2009
Volkswagen,7000,van,345,1.9,Diesel,yes,2006
Audi,17700,other,70,2,Petrol,yes,2009
Toyota,9999,sedan,225,3,Gas,yes,2004
Audi,25300,hatch,180,2,Diesel,yes,2011
Audi,22500,vagon,175,2,Gas,yes,2010
Volkswagen,18600,sedan,2,1.6,Petrol,yes,2015
Mitsubishi,6999,sedan,160,2,Petrol,yes,2007
Toyota,16200,crossover,281,4.2,Diesel,yes,1999
Mercedes-Benz,29999,hatch,9,NA,Other,yes,2015
Toyota,18000,crossover,320,4.2,Diesel,yes,1999
Mercedes-Benz,27300,sedan,144,2.14,Diesel,yes,2011
Toyota,2700,sedan,550,1.6,Gas,yes,1989
BMW,12000,crossover,218,3,Diesel,no,2006
Mercedes-Benz,39900,hatch,2,NA,Other,yes,2015
Volkswagen,1800,other,280,1.9,Diesel,no,1997
Audi,20500,sedan,106,1.8,Petrol,yes,2011
Volkswagen,10493,other,1,1.4,Petrol,yes,2014
BMW,16800,sedan,154,3,Petrol,yes,2006
Volkswagen,12500,sedan,177,NA,Petrol,yes,2008
BMW,8200,sedan,238,3,Diesel,no,2004
BMW,8000,sedan,330,NA,Diesel,yes,1997
Mercedes-Benz,14500,van,171,2.2,Diesel,yes,2011
Volkswagen,24500,crossover,62,2,Diesel,yes,2012
Toyota,13250,sedan,96,2.4,Gas,yes,2008
Toyota,6400,sedan,250,3,Gas,yes,1998
Mercedes-Benz,29500,sedan,135,5.5,Petrol,yes,2008
Volkswagen,69990,van,1,5,Diesel,yes,2015
Audi,2600,vagon,110,2.5,Diesel,no,2002
Volkswagen,4900,sedan,500,1.9,Diesel,yes,1995
Renault,10500,vagon,185,1.5,Diesel,yes,2011
Volkswagen,NA,crossover,90,3.6,Petrol,yes,2008
Volkswagen,27200,crossover,1,2,Diesel,yes,2015
Mercedes-Benz,1350,sedan,360,2.5,Diesel,no,1989
Mercedes-Benz,NA,sedan,24,3,Diesel,yes,2015
Toyota,13900,sedan,139,2.4,Other,yes,2008
BMW,12800,sedan,194,4.4,Gas,yes,2002
Toyota,21200,crossover,135,4,Gas,yes,2007
Mercedes-Benz,8700,sedan,196,2,Gas,yes,2000
Toyota,8800,sedan,165,1.8,Petrol,yes,2007
Toyota,12900,sedan,129,1.8,Petrol,yes,2009
BMW,9500,sedan,339,3,Diesel,yes,2001
BMW,10700,sedan,243,3,Diesel,yes,2002
Volkswagen,10800,van,156,1.6,Diesel,yes,2012
Mitsubishi,2400,hatch,350,2,Gas,yes,1989
Renault,13300,other,132,1.5,Diesel,yes,2012
BMW,34500,crossover,85,3,Petrol,yes,2010
BMW,57000,other,20,3.5,Petrol,yes,2013
Renault,7200,van,146,1.5,Diesel,yes,2012
Toyota,23400,sedan,69,2.5,Gas,yes,2014
Mercedes-Benz,6500,sedan,215,55,Petrol,no,2001
Toyota,48000,crossover,59,3,Diesel,yes,2014
BMW,6800,sedan,325,NA,Other,no,2005
Volkswagen,4200,sedan,1,1.4,Petrol,yes,2012
Mercedes-Benz,6200,other,340,2.4,Gas,yes,1998
BMW,137000,crossover,2,4.4,Petrol,yes,2016
Audi,1300,sedan,250,NA,Gas,no,1994
BMW,2900,sedan,225,2.5,Petrol,no,1997
Mercedes-Benz,12700,other,199,2.2,Diesel,yes,2011
Audi,16999,vagon,140,4.2,Petrol,yes,2007
Volkswagen,13972.07,sedan,0,1.6,Petrol,yes,2016
Mercedes-Benz,41900,sedan,95,6.2,Petrol,yes,2011
Renault,6650,vagon,227,1.5,Diesel,yes,2005
Mercedes-Benz,9200,other,280,2.4,Petrol,yes,2003
BMW,15300,sedan,250,2.5,Petrol,yes,2006
Volkswagen,1450,van,100,1.6,Diesel,yes,1988
Volkswagen,5900,van,278,1.9,Diesel,yes,2005
Mercedes-Benz,4100,sedan,400,2,Diesel,yes,1987
Mercedes-Benz,4900,sedan,282,3.2,Gas,yes,1993
BMW,12900,vagon,260,3,Diesel,yes,2004
Toyota,33333,vagon,73,4,Gas,yes,2009
Volkswagen,7200,hatch,127,1.39,Petrol,yes,2007
BMW,77777,crossover,1,3,Diesel,yes,2014
Mercedes-Benz,2300,hatch,175,1.4,Petrol,no,2000
Volkswagen,13000,crossover,235,3.2,Gas,yes,2005
Volkswagen,3000,van,318,1.9,Diesel,yes,1993
Renault,7999,van,92,1.5,Diesel,yes,2013
Mercedes-Benz,11000,van,250,2.2,Diesel,yes,2005
BMW,81000,sedan,23,4.4,Petrol,yes,2014
BMW,3800,sedan,304,1.9,Gas,no,2000
BMW,4300,other,280,2.5,Petrol,yes,1985
Audi,4400,sedan,340,2.8,Gas,yes,1992
Audi,3150,vagon,320,2.5,Diesel,no,2002
Volkswagen,10900,other,287,2.5,Other,yes,2004
Volkswagen,6400,van,305,NA,Diesel,yes,2004
Audi,3050,vagon,250,2.5,Other,no,2001
Volkswagen,30385,vagon,0,2,Diesel,yes,2014
BMW,20999,crossover,170,4.8,Petrol,yes,2008
Volkswagen,1500,sedan,255,1.9,Diesel,no,1998
Mitsubishi,NA,crossover,120,2,Gas,yes,2008
Toyota,8500,vagon,200,2,Petrol,yes,1999
Toyota,9200,sedan,115,1.6,Gas,yes,2008
Toyota,20800,sedan,49,3.5,Petrol,yes,2011
Renault,8100,van,206,1.9,Diesel,yes,2005
Volkswagen,13500,sedan,104,1.8,Petrol,yes,2010
Renault,4900,van,218,1.5,Diesel,yes,2006
Volkswagen,6600,hatch,136,1.4,Gas,yes,2001
Mitsubishi,1450,crossover,245,2.8,Diesel,no,1996
Volkswagen,3600,sedan,320,1.8,Gas,yes,1989
Toyota,24000,sedan,51,2.5,Gas,yes,2014
Toyota,12700,sedan,130,2.4,Petrol,yes,2008
Mercedes-Benz,14500,other,315,5,Gas,yes,2004
BMW,2299,sedan,200,1.8,Petrol,no,1999
BMW,8900,sedan,234,3.5,Gas,yes,1999
Audi,30500,vagon,152,3,Diesel,yes,2012
Mercedes-Benz,4000,sedan,370,3.2,Diesel,no,2002
Toyota,12900,sedan,137,2.4,Petrol,yes,2008
Volkswagen,3300,sedan,200,1.8,Petrol,yes,1989
Toyota,9800,sedan,178,1.8,Petrol,yes,2007
Renault,15200,other,173,2.3,Diesel,yes,2013
Volkswagen,4950,vagon,290,1.8,Petrol,yes,1996
Volkswagen,55500,crossover,36,3,Diesel,yes,2015
Volkswagen,17900,van,188,2.5,Diesel,yes,2008
Mercedes-Benz,5900,crossover,271,2.7,Diesel,no,2003
Toyota,20500,crossover,225,4.7,Gas,yes,2003
BMW,5000,other,300,1.8,Petrol,yes,1994
Volkswagen,11500,van,100,2,Diesel,yes,2010
Mercedes-Benz,115000,other,35,NA,Diesel,yes,2015
Volkswagen,2900,hatch,230,1.6,Petrol,yes,2000
Mitsubishi,4800,sedan,247,2,Gas,yes,1998
Renault,1550,vagon,235,2,Petrol,no,1998
Mitsubishi,16000,crossover,147,2.5,Diesel,yes,2008
Volkswagen,6400,van,312,2.5,Diesel,yes,2000
